# ae_name=Lauren Tabler
Account Name,Account Intent Score,6sense Account Intent Score,Compliance Frameworks,Competitive Tech,SDR Source,Count of Open Security Job Postings,Headcount of Security jobs,Last Activity,B2B or B2C,Parent Account,LinkedIn Company URL,Sells AI Product,Employees,Cloud Providers,Ticketing Systems,AI Reasoning for B2B B2C,Industry,Account ICP Tier
Colony Brands,8,0,"Kosher, Organic, NON GMO, BRC, GFSI",,,15,,,Both,"Colony Brands, Inc.",,FALSE,1486,"Amazon,Peak 10,TDS telecom,Amazon Virginia Region","Zendesk, ServiceNow","Colony Brands, Inc. operates various channels involving both direct marketing to consumers (B2C) through their portfolio of brands catering to individuals, as well as providing services and products to businesses (B2B) through their affiliates such as SC Global Sourcing and Integrated Marketing Solutions.",,Tier 2
Arcosa,15,42,"ISO 45001, Foreign Corrupt Practices Act (FCPA)",,Manet Yazidi,39,,5/5/2026,B2B,,,,1684,"Microsoft Azure,Oracle Cloud,Cloudflare Hosting,Rackspace,SP Global Hosted,Verizon,Level 3 Communications,Zoho Hosting",,"Arcosa, Inc. focuses on providing infrastructure-related products and solutions primarily for construction, engineered structures, and transportation markets, which indicates that their main customers are businesses rather than individual consumers.",Construction,Tier 2
ISN Software Corporation,17,61,,,Manet Yazidi,,,5/4/2026,B2B,,https://www.linkedin.com/company/isn-software-corporation,FALSE,1261,"Hostway,Cloudflare Hosting,Intermedia Hosting,Sucuri Hosting,GoDaddy,Unified Layer,BlueHost",,"The company primarily targets security professionals and residential communities, indicating a focus on serving other businesses rather than individual consumers.",Consulting,Tier 1
TrueCare,20,86,,,Manet Yazidi,11,,5/7/2026,B2C,,,FALSE,630,"Google Cloud,Amazon,Cloudflare Hosting,GoDaddy,WP Engine,Kinsta,Cloudflare Network Error Logging,Amazon California Region","Zendesk, ServiceNow, Freshdesk","TrueCare primarily provides healthcare services directly to patients and their families, indicating a business-to-consumer model. The focus on community health suggests it operates with a consumer-oriented approach rather than selling services or products to other businesses.",Healthcare,Tier 1
VIDA Diagnostics Inc,11,71,"HIPAA, ISO, MDS2, DICOM",,Manet Yazidi,,,4/28/2026,B2B,VIDA,https://www.linkedin.com/company/vidalung,TRUE,1250,"Amazon,Linode,Internet Names for Business,Carrier Zone Host,Unified Layer,BlueHost,Amazon California Region","Salesforce Desk is a cloud-based IT helpdesk software provider offering various customer service solutions, thus fitting the criteria.","VIDA primarily serves biopharma sponsors, indicating it operates in the B2B space by providing solutions that facilitate drug development for other companies.",Healthcare,Tier 1
Behavioral Health Group,16,55,"CARF, Joint Commission, Healthcare Compliance Association, HIPAA Privacy and Security Expert",no competitor tech found,Manet Yazidi,127,,5/3/2026,B2C,,https://www.linkedin.com/company/bhgrecovery,,1028,"Softlayer,Amazon,Cloudflare Hosting,GoDaddy,InMotion Hosting,Amazon Virginia Region,Cloudflare Network Error Logging,ATT","Zendesk, ServiceNow","The description indicates that Behavioral Health Group (BHG) provides treatment and recovery services directly to individuals with opioid use disorder, which suggests a focus on consumer services rather than business-to-business operations.",Healthcare,Tier 1
CARTI,47,74,,,Manet Yazidi,17,,5/7/2026,B2C,,,,698,"FireHost,Digital Ocean,ATT,Switch Hosted,CenturyLink,Windstream Communications","Zendesk, ServiceNow","CARTI primarily provides healthcare services directly to patients, indicating a business-to-consumer model.",Healthcare,Tier 2
Curana Health,18,72,,no competitor tech found,Manet Yazidi,45,,5/8/2026,B2B,,https://www.linkedin.com/company/curana-health,FALSE,932,"Google Cloud,Cloudflare Hosting,Amazon,Netlify,WP Engine,Cloudflare Network Error Logging,Amazon Virginia Region,Amazon California Region","ServiceNow, Zendesk, Freshservice","Curana Health primarily targets senior living communities and healthcare facilities, which indicates a focus on selling services to businesses rather than directly to consumers.",Healthcare,Tier 2
Monarch Healthcare Management,17,65,,no competitor tech found,Manet Yazidi,127,0,4/27/2026,B2C,,http://www.linkedin.com/company/monarch-healthcare-management,,738,"Cloudflare Hosting,GoDaddy,Digital Ocean,Cloudflare Network Error Logging,Charter Communications,Net Access Corportation,Cologix","{""Microsoft_Helpdesk_365"":{""features"":[""Easy-to-use UI and simplicity"",""Reliable security and customization options"",""Automated ticketing processes"",""Data privacy compliance (GCC & GCC High)"",""Zero Trust security model"",""Integration with Microsoft tools (Teams, Azure, Dynamics 365)"",""AI-powered automation for ticket routing and issue tracking"",""Delegation feature for ticket management during absences"",""AI knowledgebase responses for proactive support"",""Azure DevOps integration"",""Mail tracker for monitoring helpdesk interactions"",""Quick deployment under 10 minutes"",""Integration with Power Automate and Power BI""],""links"":[{""description"":""Helpdesk knowledgebase"",""url"":""https://kb.hr365.us/sharepoint-helpdesk/?utm_campaign=msa-hd&utm_medium=ref&utm_source=msa""},{""description"":""Features"",""url"":""https://apps365.com/helpdesk-sharepoint-ticketing-system/?utm_campaign=msa-hd&utm_medium=features&utm_source=msa""},{""description"":""HR365 Helpdesk"",""url"":""https://hr365.us/sharepoint-ticketing-system-hr-helpdesk-ms-teams-365/?utm_campaign=hd&utm_medium=ref&utm_source=msa""}],""email"":""CustomerSuccess@MAQSoftware.com""},""Zendesk"":{""features"":[""AI-powered automation to boost efficiency and support ticket management."",""Customizable features suited to different organizational needs."",""Intuitive and easy-to-use design that facilitates quick setup and scaling."",""Integration capabilities to connect employee service with customer service operations."",""Tools for real-time analytics and reporting for performance monitoring."",""Emphasis on minimizing downtime, protecting sensitive data, and enhancing data privacy.""],""benefits"":[""Improved productivity through centralized support"",""Reduced operational costs"",""High service levels adaptation""],""context"":""Positive testimonials detail enhancements in employee support and operational efficiency.""},""ServiceNow"":{""features"":[""Integration with configuration management database (CMDB)"",""Enhanced efficiency through AI capabilities"",""Automated incident creation and intelligent ticket routing"",""Assistive virtual agents"",""Predictive analytics and contextual knowledge base suggestions"",""Walk-up Experience for in-person support"",""Mobile-friendly self-service portal for appointment scheduling and tracking wait times"",""Integrated dashboards and inventory tracking for enhanced technician efficiency.""],""contact"":""+1(844)863-1987"",""useful_links"":[{""description"":""IT Service Management"",""url"":""https://servicenow.com/products/itsm.html""},{""description"":""Streamline IT service delivery"",""url"":""https://servicenow.com/docs/csh?topicname=r_ITServiceManagement.html&version=latest""},{""description"":""Best practices for IT service management"",""url"":""https://mynow.servicenow.com/now/best-practices/collections/it-service-management-best-practices""},{""description"":""What is ITSM?"",""url"":""https://servicenow.com/products/itsm/what-is-itsm.html""},{""description"":""What is a service desk?"",""url"":""https://servicenow.com/products/itsm/what-is-a-service-desk.html""}]},""Intercom"":{""features"":[""AI-enhanced Inbox for productivity."",""Copilot for agent assistance and training."",""Tickets for efficient resolution of complex issues."",""Omnichannel support (phone, email, live-chat)."",""Help Center for self-service customer answers."",""Over 450 Apps & Integrations for seamless connectivity."",""Reporting tools for performance optimization."",""Knowledge Hub for centralized content."",""Outbound messaging for proactive customer support.""],""links"":[{""description"":""Inbox"",""url"":""https://intercom.com/suite/helpdesk/inbox""},{""description"":""Tickets"",""url"":""https://intercom.com/suite/helpdesk/tickets""},{""description"":""Help Center"",""url"":""https://intercom.com/suite/helpdesk/help-center""},{""description"":""Reporting"",""url"":""https://intercom.com/suite/helpdesk/reporting""},{""description"":""Knowledge Hub"",""url"":""https://intercom.com/suite/helpdesk/knowledge-hub""},{""description"":""Outbound messaging"",""url"":""https://intercom.com/suite/helpdesk/outbound""}],""email"":""press@intercom.com"",""phone"":""+1 732-285-4956""}}","The company focuses on providing healthcare services directly to residents and their families, indicating a business-to-consumer (B2C) model.",Healthcare,Tier 2
Emerus,28,62,No compliance frameworks were found.,,Manet Yazidi,75,,5/8/2026,Both,,,FALSE,666,"Softlayer,Cloudflare Hosting,Amazon,Microsoft Azure,Google Cloud,Rackspace,Cloudflare Network Error Logging,WP Engine,Amazon Virginia Region,UltraDNS Vercara Hosting","SolarWinds Service Desk, Zendesk, ServiceNow","Emerus operates as both a B2B company by partnering with leading health systems and providing services to them, and as a B2C company by offering healthcare services directly to patients in the communities.",Healthcare,Tier 2
"ANI Pharmaceuticals, Inc.",19,61,,no competitor tech found,Manet Yazidi,11,,5/1/2026,Both,,https://www.linkedin.com/company/ani-pharmaceuticals-inc-,,634,"Oracle Cloud,Cloudflare Hosting,InMotion Hosting,Cloudflare Network Error Logging,WP Engine,Akamai Hosted","Zendesk, Zoho Desk, Freshdesk, Jira Service Management, HaloITSM, HappyFox, Vivantio, Freshservice, InvGate Service Desk, ManageEngine, Spiceworks","ANI Pharmaceuticals engages in developing and marketing prescription pharmaceutical products, which indicates a B2B model by supplying healthcare providers and institutions, but also serves patients directly, indicating a B2C aspect.",Healthcare,Tier 2
CarDon & Associates,17,60,No compliance frameworks or certifications found.,no competitor tech found,Manet Yazidi,35,,5/3/2026,B2C,,,FALSE,851,"Google Cloud,Cloudflare Hosting,Amazon,Endurance International,Performance Systems International,PowWeb,GoDaddy,WP Engine,Vercel",,"The company description focuses on providing services and options for senior individuals and their families, indicating a direct consumer relationship.",Healthcare,Tier 2
Riverview Health,16,59,"CLIA, ABC Accreditation",,Manet Yazidi,3,,5/5/2026,B2C,,https://www.linkedin.com/company/riverview-hospital,,1531,"nFrame,FireHost,Cloudflare Hosting,Oracle Cloud,Microsoft Azure,Google Cloud,Amazon,AWS Global Accelerator,Hivelocity Hosting,AiNET,Rackspace,Cloudflare Network Error Logging,Level 3 Communications,Akamai Hosted,Linode,Amazon Oregon Region,Amazon Virginia Region,Digital Ocean,Weebly Hosting","Freshdesk, Zendesk, ServiceNow, BugHerd","Riverview Health primarily provides healthcare services directly to patients (consumers), making it a B2C company. While it may collaborate with other businesses in the healthcare ecosystem, the primary focus is on serving individual patients.",Healthcare,Tier 2
